"time" "x" "y"
0.0 61.2283 23.1652
0.010974 61.1319 22.1651
0.021954 61.1319 22.1651
0.032514 61.1319 22.1651
0.042821 61.0304 21.4148
0.053063 61.0304 21.4148
0.063209 61.0304 21.4148
0.073857 62.1525 23.4118
0.084623 62.7408 26.933
0.095633 63.5026 30.9421
0.106227 63.5026 30.9421
0.117226 64.5389 34.14
0.129046 65.1112 36.362
0.140231 65.1112 36.362
0.150303 65.8505 38.1317
0.16059 65.8505 38.1317
0.171601 66.8832 39.4634
0.182512 67.9785 40.8693
0.193022 67.9785 40.8693
0.203925 69.1761 41.8043
0.21501 69.1761 41.8043
0.226009 69.1761 41.8043
0.237011 69.1761 41.8043
0.248519 71.5227 41.8223
0.259558 71.5227 41.8223
0.270946 71.5227 41.8223
0.281805 75.7829 37.2257
0.291959 75.7829 37.2257
0.302191 75.7829 37.2257
0.312375 77.4403 34.6069
0.322733 77.4403 34.6069
0.333638 78.5869 32.0394
0.344088 80.4942 29.8928
0.35461 80.4942 29.8928
0.364856 82.1726 27.2396
0.375777 83.8087 23.9678
0.387761 84.7835 19.9056
0.398761 84.7835 19.9056
0.408889 84.811 15.5157
0.419889 85.2381 11.0109
0.430952 85.2381 11.0109
0.441931 84.891 6.3454
0.452486 84.318 1.7111
0.463143 84.318 1.7111
0.473648 83.7146 -2.403
0.484558 83.7146 -2.403
0.494605 82.6079 -5.9315
0.505528 80.3311 -9.554
0.51653 77.8424 -13.9573
0.528489 77.8424 -13.9573
0.538734 79.1379 -14.8101
0.549238 79.1379 -14.8101
0.559377 70.7704 -23.2139
0.569665 67.4207 -27.425
0.580328 63.5645 -31.1871
0.590676 63.5645 -31.1871
0.601596 59.8636 -34.5399
0.612587 57.1138 -37.0271
0.623553 57.1138 -37.0271
0.63445 55.0934 -39.2522
0.64556 55.0934 -39.2522
0.656626 50.8507 -41.9479
0.666907 45.9312 -45.3022
0.677908 45.9312 -45.3022
0.688299 41.335 -47.8469
0.699423 41.335 -47.8469
0.710359 37.275 -49.686
0.721414 33.7437 -50.2413
0.732388 33.7437 -50.2413
0.743386 29.6584 -50.1857
0.753916 29.6584 -50.1857
0.764911 27.3311 -50.4418
0.775906 25.8101 -51.1024
0.786907 25.8101 -51.1024
0.797925 23.2589 -51.8125
0.808139 23.2589 -51.8125
0.819132 19.1776 -52.0752
0.830316 14.8925 -53.4976
0.840923 11.1719 -53.6252
0.851147 11.1719 -53.6252
0.861384 11.1719 -53.6252
0.871621 4.9443 -55.2542
0.881701 4.9443 -55.2542
0.892617 4.9443 -55.2542
0.903617 -0.1152 -56.6665
0.913919 -5.5091 -59.1233
0.924929 -10.4808 -61.4165
0.93555 -10.4808 -61.4165
0.945627 -13.7871 -63.1671
0.956272 -13.7871 -63.1671
0.967272 -13.7871 -63.1671
0.97838 -13.7871 -63.1671
0.989379 -18.4095 -66.1835
0.999546 -18.4095 -66.1835
1.00991 -19.9432 -68.4336
1.020931 -19.9432 -68.4336
1.032563 -22.802 -71.189
1.043562 -28.6213 -73.458
1.053774 -36.506 -75.388
1.064081 -36.506 -75.388
1.075081 -44.2363 -77.1633
1.08571 -50.8136 -77.9855
1.09672 -50.8136 -77.9855
1.107184 -50.8136 -77.9855
1.118199 -50.8136 -77.9855
1.128521 -59.5735 -79.6268
1.139393 -62.9095 -79.8338
1.149896 -66.6351 -79.8297
1.160279 -66.6351 -79.8297
1.171427 -71.4335 -79.6047
1.182364 -71.4335 -79.6047
1.192464 -76.4118 -79.0645
1.203378 -79.7577 -78.2444
1.214372 -81.4199 -77.2089
1.224396 -81.4199 -77.2089
1.235428 -82.1937 -76.7436
1.246024 -82.1937 -76.7436
1.256554 -81.4338 -75.355
1.267543 -80.1157 -74.3257
1.278462 -78.7127 -72.1597
1.289503 -78.7127 -72.1597
1.300117 -78.7127 -72.1597
1.310143 -77.0326 -68.3226
1.320325 -77.0326 -68.3226
1.330587 -73.9065 -65.2175
1.341707 -73.9065 -65.2175
1.351959 -71.1215 -61.4439
1.362914 -67.6188 -58.4464
1.374141 -67.6188 -58.4464
1.384499 -63.1137 -56.3093
1.395508 -58.6476 -54.5683
1.40649 -58.6476 -54.5683
1.417297 -55.5745 -52.3539
1.428166 -55.5745 -52.3539
1.4393 -54.0161 -47.0269
1.450027 -54.0161 -47.0269
1.46065 -54.0161 -47.0269
1.47164 -50.6392 -42.2268
1.481752 -50.6392 -42.2268
1.4921 -50.6392 -42.2268
1.50282 -46.7848 -40.5744
1.51382 -42.2401 -39.2585
1.524122 -36.187 -36.7716
1.534414 -36.187 -36.7716
1.545396 -31.7485 -33.1626
1.555923 -31.7485 -33.1626
1.567715 -28.8374 -29.7563
1.578715 -25.796 -26.3223
1.589715 -21.7894 -23.3546
1.600105 -21.7894 -23.3546
1.61092 -18.249 -20.829
1.621482 -13.7704 -17.6956
1.631805 -13.7704 -17.6956
1.642011 -13.7704 -17.6956
1.652251 -10.6381 -14.2724
1.663104 -7.8398 -10.5067
1.674008 -5.8158 -7.1917
1.684538 -3.5509 -4.8891
1.696538 -2.0469 -2.8189
1.707538 -2.0469 -2.8189
1.717934 -0.8892 -1.2945
1.728936 -0.8892 -1.2945
1.739111 0.7829 0.6596
1.749444 0.7829 0.6596
1.760441 2.268 2.814
1.770999 4.447 4.3957
1.781336 6.5827 5.9322
1.791822 6.5827 5.9322
1.801901 6.5827 5.9322
1.812822 8.2051 7.3557
1.823831 9.7111 9.4339
1.834835 9.7111 9.4339
1.845642 11.244 11.622
1.856188 11.244 11.622
1.866935 11.977 15.7322
1.877937 11.977 15.7322
1.888777 12.4834 17.5744
1.899776 13.1655 19.4768
1.910654 13.1655 19.4768
1.921566 13.6062 21.1914
1.931942 13.6062 21.1914
1.94282 13.9492 22.778
1.953231 14.9816 23.804
1.96374 14.9816 23.804
1.974739 15.8772 24.3922
1.984954 15.8772 24.3922
1.995381 15.7843 24.9615
2.006382 15.7843 24.9615
2.017181 15.7843 24.9615
2.02818 17.2857 24.9516
2.039191 17.2857 24.9516
2.049342 18.2378 24.4509
2.060177 18.7702 23.9914
2.070525 18.7702 23.9914
2.080591 19.0361 23.4512
2.091177 19.0361 23.4512
2.101482 18.8913 23.2016
2.112468 18.8913 23.2016
2.123468 19.6911 22.8753
2.134493 19.6911 22.8753
2.144551 19.6213 22.4439
2.154965 19.6213 22.4439
2.165052 19.6213 22.4439
2.176177 19.6213 22.4439
2.1867 18.914 21.7195
2.1977 18.914 21.7195
2.208584 18.1433 21.1162
2.219582 17.7434 19.8059
2.230458 17.7434 19.8059
2.241551 18.234 18.4514
2.252052 18.234 18.4514
2.262933 18.2659 17.1654
2.273257 17.6029 15.9285
2.28412 17.6029 15.9285
2.294362 16.5703 14.9867
2.305269 15.8364 14.0436
2.316278 15.183 12.7697
2.32653 15.183 12.7697
2.337537 15.183 12.7697
2.348038 14.3573 11.4082
2.358704 14.0887 10.0048
2.368965 14.0887 10.0048
2.379965 13.5184 8.7483
2.390965 12.3434 7.4785
2.401635 10.8366 5.8968
2.41256 10.8366 5.8968
2.423356 8.4599 4.346
2.434468 7.0819 2.9697
2.444965 7.0819 2.9697
2.455478 5.6384 2.2098
2.466352 5.6384 2.2098
2.477409 3.5239 0.6637
2.488626 3.5239 0.6637
2.499254 3.5239 0.6637
2.509404 2.5465 0.3928
2.519476 1.6759 0.2308
2.530492 0.7229 0.1088
2.54109 0.7229 0.1088
2.552218 0.7229 0.1088
2.563209 -1.3219 -0.0955
2.57334 -1.3219 -0.0955
2.58401 -1.8659 0.2729
2.594202 -2.0253 0.711
2.604929 -2.0253 0.711
2.61594 -2.0253 0.711
2.626655 -2.0253 0.711
2.637672 -2.8804 0.9155
2.648476 -3.7011 1.0221
2.659489 -3.7011 1.0221
2.669665 -3.7011 1.0221
2.680659 -3.7011 1.0221
2.690982 -3.9401 1.1466
2.702116 -3.9401 1.1466
2.712373 -4.0595 0.9122
2.723303 -4.0595 0.9122
2.734324 -4.4743 0.6401
2.745395 -4.4743 0.6401
2.756033 -4.4743 0.6401
2.767401 -4.4743 0.6401
2.7784 -4.4743 0.6401
2.789486 -5.071 0.4087
2.799843 -5.196 -0.2586
2.810396 -5.6483 -0.764
2.820787 -5.6483 -0.764
2.831786 -6.202 -1.7627
2.8422 -6.202 -1.7627
2.852234 -5.664 -2.0291
2.86326 -5.664 -2.0291
